<html><body><pre>
Object   H     G    Epoch    M         Peri.      Node       Incl.        e           n         a                     NObs NOpp   Arc    r.m.s.       Orbit ID
A10a1Gd 16.1  0.15  K18BI 172.36147  161.25789   75.23296   20.08672  0.3709746  0.52650543   1.5189174                  4   1    0 days 0.23         NEOCPV0049
A10a1Gd 16.1  0.15  K18BI 161.05294  166.38333   75.59985   19.77258  0.3804613  0.52750994   1.5169885                  4   1    0 days 0.23         NEOCPV0050
A10a1Gd 16.1  0.15  K18BI 150.11684  171.13364   75.98072   19.45725  0.3930934  0.52598759   1.5199141                  4   1    0 days 0.23         NEOCPV0051
A10a1Gd 16.1  0.15  K18BI 139.59825  175.47168   76.37570   19.14139  0.4084808  0.52193808   1.5277656                  4   1    0 days 0.23         NEOCPV0052
A10a1Gd 16.1  0.15  K18BI 129.52117  179.38322   76.78638   18.82430  0.4262334  0.51539405   1.5406706                  4   1    0 days 0.23         NEOCPV0053
A10a1Gd 16.1  0.15  K18BI 119.88582  182.87694   77.21340   18.50625  0.4459826  0.50638794   1.5588840                  4   1    0 days 0.23         NEOCPV0054
A10a1Gd 16.1  0.15  K18BI 110.67853  185.97479   77.65788   18.18721  0.4673954  0.49496081   1.5827859                  4   1    0 days 0.23         NEOCPV0055
A10a1Gd 16.1  0.15  K18BI 101.88019  188.70543   78.12080   17.86726  0.4901793  0.48117327   1.6128788                  4   1    0 days 0.23         NEOCPV0056
A10a1Gd 16.1  0.15  K18BI  93.46815  191.10041   78.60371   17.54618  0.5140826  0.46509575   1.6498374                  4   1    0 days 0.23         NEOCPV0057
A10a1Gd 16.1  0.15  K18BI  85.42327  193.18950   79.10828   17.22369  0.5388920  0.44682966   1.6944993                  4   1    0 days 0.23         NEOCPV0058
A10a1Gd 16.1  0.15  K18BI  77.72115  195.00617   79.63481   16.90064  0.5644279  0.42645428   1.7480522                  4   1    0 days 0.23         NEOCPV0059
A10a1Gd 16.1  0.15  K18BI  70.34838  196.57404   80.18660   16.57593  0.5905404  0.40410600   1.8119207                  4   1    0 days 0.23         NEOCPV0060
A10a1Gd 16.1  0.15  K18BI  63.28890  197.92016   80.76406   16.25045  0.6171044  0.37990540   1.8880743                  4   1    0 days 0.23         NEOCPV0061
A10a1Gd 16.1  0.15  K18BI  56.53281  199.06601   81.36892   15.92427  0.6440155  0.35400485   1.9790795                  4   1    0 days 0.23         NEOCPV0062
A10a1Gd 16.1  0.15  K18BI  50.07663  200.02632   82.00493   15.59655  0.6711870  0.32659535   2.0883152                  4   1    0 days 0.23         NEOCPV0063
A10a1Gd 16.1  0.15  K18BI  43.91528  200.82055   82.67204   15.26859  0.6985465  0.29785857   2.2205607                  4   1    0 days 0.23         NEOCPV0064
A10a1Gd 15.9  0.15  K18BI 327.01456   99.85905   69.46878   27.31426  0.6901483  0.20373430   2.8603990                  4   1    0 days 0.23         NEOCPV0065
A10a1Gd 15.9  0.15  K18BI 320.50784  101.95075   69.61761   27.09399  0.6564438  0.23446902   2.6046282                  4   1    0 days 0.23         NEOCPV0066
A10a1Gd 15.9  0.15  K18BI 313.56299  104.25309   69.76913   26.87364  0.6241848  0.26463327   2.4027380                  4   1    0 days 0.23         NEOCPV0067
A10a1Gd 15.9  0.15  K18BI 306.18260  106.78621   69.92368   26.65283  0.5935133  0.29394234   2.2402404                  4   1    0 days 0.23         NEOCPV0068
A10a1Gd 15.9  0.15  K18BI 298.36599  109.57138   70.08108   26.43198  0.5645910  0.32215195   2.1074739                  4   1    0 days 0.23         NEOCPV0069
A10a1Gd 15.9  0.15  K18BI 290.11144  112.62845   70.24125   26.21136  0.5376003  0.34904929   1.9977672                  4   1    0 days 0.23         NEOCPV0070
A10a1Gd 15.9  0.15  K18BI 281.41865  115.97381   70.40436   25.99081  0.5127428  0.37444772   1.9063761                  4   1    0 days 0.23         NEOCPV0071
A10a1Gd 15.8  0.15  K18BI 272.28895  119.61952   70.57076   25.76997  0.4902372  0.39819498   1.8298080                  4   1    0 days 0.23         NEOCPV0072
A10a1Gd 15.8  0.15  K18BI 262.73718  123.56545   70.74013   25.54944  0.4703120  0.42013048   1.7655496                  4   1    0 days 0.23         NEOCPV0073
A10a1Gd 15.8  0.15  K18BI 252.78409  127.80212   70.91280   25.32887  0.4531970  0.44013570   1.7116369                  4   1    0 days 0.23         NEOCPV0074
A10a1Gd 15.8  0.15  K18BI 242.46508  132.30405   71.08939   25.10747  0.4391081  0.45810494   1.6665796                  4   1    0 days 0.23         NEOCPV0075
A10a1Gd 15.8  0.15  K18BI 231.83575  137.02733   71.26972   24.88567  0.4282309  0.47393187   1.6292664                  4   1    0 days 0.23         NEOCPV0076
A10a1Gd 15.8  0.15  K18BI 220.96163  141.91312   71.45509   24.66175  0.4207013  0.48754769   1.5987896                  4   1    0 days 0.23         NEOCPV0077
A10a1Gd 15.8  0.15  K18BI 209.93005  146.88558   71.64559   24.43584  0.4165886  0.49886565   1.5745156                  4   1    0 days 0.23         NEOCPV0078
A10a1Gd 15.8  0.15  K18BI 198.83162  151.86224   71.84240   24.20657  0.4158840  0.50782853   1.5559345                  4   1    0 days 0.23         NEOCPV0079
A10a1Gd 15.8  0.15  K18BI 187.76179  156.75888   72.04586   23.97385  0.4184973  0.51437766   1.5426994                  4   1    0 days 0.23         NEOCPV0080
A10a1Gd 15.8  0.15  K18BI 173.30607  162.89226   72.45262   23.48577  0.4242632  0.51961598   1.5323138                  4   1    0 days 0.23         NEOCPV0081
A10a1Gd 15.8  0.15  K18BI 162.56694  167.34091   72.72833   23.17478  0.4329563  0.52058648   1.5304088                  4   1    0 days 0.23         NEOCPV0082
A10a1Gd 15.8  0.15  K18BI 152.09760  171.52014   73.01286   22.86259  0.4443094  0.51905038   1.5334268                  4   1    0 days 0.23         NEOCPV0083
A10a1Gd 15.8  0.15  K18BI 141.93812  175.40048   73.30707   22.54872  0.4580346  0.51502376   1.5414089                  4   1    0 days 0.23         NEOCPV0084
A10a1Gd 15.8  0.15  K18BI 132.10880  178.97067   73.61095   22.23375  0.4738403  0.50852010   1.5545235                  4   1    0 days 0.23         NEOCPV0085
A10a1Gd 15.8  0.15  K18BI 122.62263  182.22857   73.92585   21.91674  0.4914450  0.49958430   1.5730053                  4   1    0 days 0.23         NEOCPV0086
A10a1Gd 15.8  0.15  K18BI 113.48368  185.18134   74.25283   21.59715  0.5105870  0.48827693   1.5971973                  4   1    0 days 0.23         NEOCPV0087
A10a1Gd 15.8  0.15  K18BI 104.67797  187.84993   74.59069   21.27705  0.5310288  0.47461918   1.6276931                  4   1    0 days 0.23         NEOCPV0088
A10a1Gd 15.9  0.15  K18BI  96.20451  190.24809   74.94180   20.95458  0.5525591  0.45871424   1.6651035                  4   1    0 days 0.23         NEOCPV0089
A10a1Gd 15.9  0.15  K18BI  88.05222  192.39702   75.30654   20.63014  0.5749931  0.44064161   1.7103266                  4   1    0 days 0.23         NEOCPV0090
A10a1Gd 15.9  0.15  K18BI  80.21078  194.31767   75.68554   20.30392  0.5981701  0.42049651   1.7645249                  4   1    0 days 0.23         NEOCPV0091
A10a1Gd 15.9  0.15  K18BI  72.67344  196.02862   76.07999   19.97561  0.6219519  0.39840162   1.8291753                  4   1    0 days 0.23         NEOCPV0092
A10a1Gd 15.9  0.15  K18BI  65.43408  197.54789   76.49097   19.64515  0.6462202  0.37449074   1.9062301                  4   1    0 days 0.23         NEOCPV0093
A10a1Gd 15.9  0.15  K18BI  58.48724  198.89311   76.91942   19.31266  0.6708735  0.34890655   1.9983120                  4   1    0 days 0.23         NEOCPV0094
A10a1Gd 15.9  0.15  K18BI  51.83482  200.07721   77.36642   18.97814  0.6958255  0.32184069   2.1088325                  4   1    0 days 0.23         NEOCPV0095
A10a1Gd 15.6  0.15  K18BI 319.12534  107.45324   67.83720   30.70516  0.6751376  0.23045939   2.6347522                  4   1    0 days 0.23         NEOCPV0096
A10a1Gd 15.6  0.15  K18BI 311.99542  109.87960   67.94820   30.50858  0.6455359  0.26011483   2.4304833                  4   1    0 days 0.23         NEOCPV0097
A10a1Gd 15.6  0.15  K18BI 304.44568  112.51393   68.06064   30.31232  0.6176327  0.28893984   2.2660236                  4   1    0 days 0.23         NEOCPV0098
A10a1Gd 15.6  0.15  K18BI 296.48628  115.36729   68.17422   30.11696  0.5915746  0.31668772   2.1316467                  4   1    0 days 0.23         NEOCPV0099
A10a1Gd 15.6  0.15  K18BI 288.12531  118.44936   68.28929   29.92192  0.5675192  0.34315539   2.0205774                  4   1    0 days 0.23         NEOCPV0100
A10a1Gd 15.6  0.15  K18BI 279.37422  121.76510   68.40564   29.72762  0.5456331  0.36816035   1.9280193                  4   1    0 days 0.23         NEOCPV0101
A10a1Gd 15.6  0.15  K18BI 270.25026  125.31238   68.52335   29.53397  0.5260861  0.39153616   1.8504959                  4   1    0 days 0.23         NEOCPV0102
